Brand,Series,Model,Engine,Teilenummer,Description,SearchTerm,scraped_at
2,AUDI,,Audi A1/S1,2025,"000
82A 010",,Sensor für Reifendruck,2026-07-23 06:05:34
1,AUDI,,Audi A1/S1,2025,"010
81A 955","Sensor für Luftfeuchtigkeit-,",Sensor für Reifendruck,2026-07-23 06:05:34
5,AUDI,,Audi A1/S1,2025,"010
8V0 927",Sensor für Türgriff,Sensor für Reifendruck,2026-07-23 06:05:34
6,AUDI,,Audi A1/S1,2025,"050
81A 955","Sensor für Luftfeuchtigkeit-,",Sensor für Reifendruck,2026-07-23 06:05:34
4,AUDI,,Audi A1/S1,2025,"090
82A 010",,Sensor für Reifendruck,2026-07-23 06:05:34
3,AUDI,,Audi A1/S1,2025,8W0 093 107,,Sensor für Reifendruck,2026-07-23 06:05:34
8,AUDI,,Audi A3,"0  Zubehör,Infotainment,Sonstiges","000
2G0 882",,Sensor für Reifendruck,2026-07-23 06:06:16
11,AUDI,,Audi A3,"0  Zubehör,Infotainment,Sonstiges","000
3C0 881",,Sensor für Reifendruck,2026-07-23 06:06:16
7,AUDI,,Audi A3,"0  Zubehör,Infotainment,Sonstiges","010
81A 955","Sensor für Luftfeuchtigkeit-,",Sensor für Reifendruck,2026-07-23 06:06:16
10,AUDI,,Audi A3,"0  Zubehör,Infotainment,Sonstiges","010
8V0 927",Sensor für Türgriff,Sensor für Reifendruck,2026-07-23 06:06:16
9,AUDI,,Audi A3,"0  Zubehör,Infotainment,Sonstiges",81A 955 555 A,"Sensor für Luftfeuchtigkeit-,",Sensor für Reifendruck,2026-07-23 06:06:16
13,AUDI,,Audi A4,1  Motor,"000
2G0 882",,Sensor für Reifendruck,2026-07-23 06:06:58
16,AUDI,,Audi A4,1  Motor,"000
3C0 881",,Sensor für Reifendruck,2026-07-23 06:06:58
12,AUDI,,Audi A4,1  Motor,"010
81A 955","Sensor für Luftfeuchtigkeit-,",Sensor für Reifendruck,2026-07-23 06:06:58
15,AUDI,,Audi A4,1  Motor,"010
8V0 927",Sensor für Türgriff,Sensor für Reifendruck,2026-07-23 06:06:58
14,AUDI,,Audi A4,1  Motor,81A 955 555 A,"Sensor für Luftfeuchtigkeit-,",Sensor für Reifendruck,2026-07-23 06:06:58
18,AUDI,,Audi A5,"0  Zubehör,Infotainment,Sonstiges","000
2G0 882",,Sensor für Reifendruck,2026-07-23 06:07:39
21,AUDI,,Audi A5,"0  Zubehör,Infotainment,Sonstiges","000
3C0 881",,Sensor für Reifendruck,2026-07-23 06:07:39
17,AUDI,,Audi A5,"0  Zubehör,Infotainment,Sonstiges","010
81A 955","Sensor für Luftfeuchtigkeit-,",Sensor für Reifendruck,2026-07-23 06:07:39
20,AUDI,,Audi A5,"0  Zubehör,Infotainment,Sonstiges","010
8V0 927",Sensor für Türgriff,Sensor für Reifendruck,2026-07-23 06:07:39
19,AUDI,,Audi A5,"0  Zubehör,Infotainment,Sonstiges",81A 955 555 A,"Sensor für Luftfeuchtigkeit-,",Sensor für Reifendruck,2026-07-23 06:07:39
23,AUDI,,Audi A6,1  Motor,"000
2G0 882",,Sensor für Reifendruck,2026-07-23 06:08:18
26,AUDI,,Audi A6,1  Motor,"000
3C0 881",,Sensor für Reifendruck,2026-07-23 06:08:18
22,AUDI,,Audi A6,1  Motor,"010
81A 955","Sensor für Luftfeuchtigkeit-,",Sensor für Reifendruck,2026-07-23 06:08:18
25,AUDI,,Audi A6,1  Motor,"010
8V0 927",Sensor für Türgriff,Sensor für Reifendruck,2026-07-23 06:08:18
24,AUDI,,Audi A6,1  Motor,81A 955 555 A,"Sensor für Luftfeuchtigkeit-,",Sensor für Reifendruck,2026-07-23 06:08:18
28,AUDI,,Audi A7,"0  Zubehör,Infotainment,Sonstiges","000
2G0 882",,Sensor für Reifendruck,2026-07-23 06:08:58
31,AUDI,,Audi A7,"0  Zubehör,Infotainment,Sonstiges","000
3C0 881",,Sensor für Reifendruck,2026-07-23 06:08:58
27,AUDI,,Audi A7,"0  Zubehör,Infotainment,Sonstiges","010
81A 955","Sensor für Luftfeuchtigkeit-,",Sensor für Reifendruck,2026-07-23 06:08:58
30,AUDI,,Audi A7,"0  Zubehör,Infotainment,Sonstiges","010
8V0 927",Sensor für Türgriff,Sensor für Reifendruck,2026-07-23 06:08:58
29,AUDI,,Audi A7,"0  Zubehör,Infotainment,Sonstiges",81A 955 555 A,"Sensor für Luftfeuchtigkeit-,",Sensor für Reifendruck,2026-07-23 06:08:58
